TEKLİF NUMARASI,HASARSIZLIK İNDİRİMİ KADEMESİ,TRAFİK BASAMAK KODU,MARKA,ARAÇ YAŞI,MODEL YILI,YAKIT TİPİ,İL,İLÇE,YAŞ ,TEKLİF PRİMİ,PORTFÖY AYRIMI,SİGORTALI TİPİ,TEKLİF ONAY DURUMU
15235,0%,7,MERCEDES,4,2020,DIZEL,ANKARA,KEÇİÖREN,29,18.743,YENİLEME,O,T
15236,30%,8,MERCEDES,1,2023,BENZİN,İSTANBUL,TUZLA,41,13.778,YENİ İŞ,O,T
15237,30%,6,FORD,2,2022,DIZEL,İSTANBUL,SULTANGAZİ,43,7.814,YENİ İŞ,O,T
15238,30%,5,RENAULT,1,2023,DIZEL,İZMİR,,0,17.733,YENİ İŞ,T,T
15239,30%,7,VOLKSWAGEN,1,2023,BENZİN,ANKARA,ÇANKAYA,43,10.306,YENİ İŞ,O,T
15240,40%,8,VOLKSWAGEN,5,2019,DIZEL,İSTANBUL,BAHÇELİEVLER,63,9.121,YENİ İŞ,O,T
15241,0%,7,FORD,3,2021,DIZEL,İSTANBUL,SULTANBEYLİ,58,13.043,İLK DEFA SİGORTALI,O,T
15242,0%,5,HONDA,3,2021,BENZİN,İSTANBUL,BAŞAKŞEHİR,29,10.301,İLK DEFA SİGORTALI,O,T
15243,0%,7,VOLKSWAGEN,1,2023,BENZİN,İSTANBUL,BAĞCILAR,53,25.179,İLK DEFA SİGORTALI,O,T
15244,0%,8,TOYOTA,1,2023,BENZİN,İSTANBUL,ŞİLE,44,12.974,İLK DEFA SİGORTALI,O,T
15245,0%,4,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,KARTAL,28,19.233,İLK DEFA SİGORTALI,O,T
15246,40%,6,MERCEDES,2,2022,DIZEL,ANKARA,,0,22.488,YENİ İŞ,T,T
15247,0%,4,HONDA,5,2019,BENZİN,ANKARA,MAMAK,32,17.479,İLK DEFA SİGORTALI,O,T
15248,40%,6,RENAULT,2,2022,DIZEL,İSTANBUL,BAĞCILAR,49,7.796,YENİ İŞ,O,P
15249,50%,7,VOLKSWAGEN,5,2019,DIZEL,İSTANBUL,GÜNGÖREN,48,12.875,YENİ İŞ,O,T
15250,30%,6,VOLKSWAGEN,2,2022,BENZİN,ANKARA,,0,18.105,YENİ İŞ,T,P
15251,30%,4,FORD,2,2022,DIZEL,ANKARA,,0,10.419,YENİ İŞ,T,T
15252,0%,4,FORD,2,2022,DIZEL,ANKARA,ALTINDAĞ,53,7.196,İLK DEFA SİGORTALI,O,T
15253,50%,7,FORD,3,2021,DIZEL,ANKARA,,0,13.921,YENİ İŞ,T,P
15254,0%,7,MERCEDES,4,2020,BENZİN,ANKARA,,0,17.738,YENİ İŞ,T,T
15255,0%,7,VOLKSWAGEN,3,2021,DIZEL,İSTANBUL,GAZİOSMANPAŞA,60,12.739,İLK DEFA SİGORTALI,O,T
15256,60%,8,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,,0,9.907,YENİ İŞ,T,T
15257,40%,8,VOLKSWAGEN,4,2020,BENZİN,İSTANBUL,ÜSKÜDAR,47,12.884,YENİ İŞ,O,T
15258,30%,1,VOLKSWAGEN,1,2023,BENZİN,ANKARA,ÇANKAYA,47,11.271,YENİLEME,O,T
15259,30%,8,VOLKSWAGEN,1,2023,BENZİN,İZMİR,,0,14.105,YENİ İŞ,T,T
15260,30%,5,FORD,1,2023,DIZEL,İSTANBUL,,0,12.368,YENİ İŞ,T,T
15261,60%,8,FORD,4,2020,DIZEL,İSTANBUL,ÜMRANİYE,38,8.412,YENİ İŞ,O,T
15262,0%,8,VOLKSWAGEN,0,2024,BENZİN,İZMİR,GAZİEMİR,33,9.684,İLK DEFA SİGORTALI,O,T
15263,60%,7,FORD,4,2020,BENZİN,ANKARA,ETİMESGUT,44,7.468,YENİ İŞ,O,T
15264,60%,7,FORD,4,2020,BENZİN,İSTANBUL,,0,7.183,YENİ İŞ,T,P
15265,60%,5,FORD,4,2020,DIZEL,İZMİR,,0,10.404,YENİ İŞ,T,T
15266,0%,7,FORD,1,2023,BENZİN,ANKARA,KEÇİÖREN,36,10.176,İLK DEFA SİGORTALI,O,T
15267,60%,7,TOYOTA,2,2022,DIZEL,İSTANBUL,,0,10.641,YENİ İŞ,T,T
15268,30%,4,VOLKSWAGEN,3,2021,BENZİN,İSTANBUL,ZEYTİNBURNU,29,8.763,YENİ İŞ,O,T
15269,30%,4,TOYOTA,2,2022,BENZİN,ANKARA,ETİMESGUT,42,4.325,YENİ İŞ,O,T
15270,0%,7,TOYOTA,3,2021,BENZİN,ANKARA,SİNCAN,36,5.681,İLK DEFA SİGORTALI,O,T
15271,0%,4,MERCEDES,0,2024,DIZEL,İSTANBUL,ESENLER,40,52.505,SIFIR ARAÇ,O,T
15272,30%,6,VOLKSWAGEN,4,2020,DIZEL,ANKARA,PURSAKLAR,43,9.823,YENİ İŞ,O,T
15273,0%,6,MERCEDES,2,2022,BENZİN,İSTANBUL,BAŞAKŞEHİR,40,23.541,YENİ İŞ,O,T
